Allergy Relief Sonoma	http://allergyreliefsonoma.com/	1020 Gravenstein Highway North, World Map Sebastopol, CA	https://www.yelp.com/biz/allergy-relief-center-of-sonoma-county-sebastopol	(855) 488-1800	Stephen Zilber	L.Ac.		Allergy, Immune				http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://allergyreliefsonoma.com/about/	Functional endocrinology and immunology with a focus on allergies and auto-immune conditions	Personal Bio	18	11	
Allison Crawford Acupuncture	http://allisoncrawford.com/	SOMA Health Center 862 Folsom St.  San Francisco, Ca  94107	https://www.yelp.com/biz/allison-crawford-san-francisco-2	415 819 5352	Allison Crawford	M.S., L.Ac.		women’s health (infertility, PMS, prenatal care, etc.), chronic pain management			Yes	https://www.expertise.com/ca/san-francisco/acupuncture		http://www.allisoncrawford.com/my-story/	Fertility and women’s health	Personal Bio	19	12	
Anchor Acupuncture & Wellness	http://anchoracu.com/	22 Battery Street, 8th Floor, Suite 802
 San Francisco, CA 94111	https://www.yelp.com/biz/anchor-acupuncture-and-wellness-san-francisco	415-855-3112	Amanda Moler	M.S. Dipl Ac, L.Ac, FABORM								http://anchoracu.com/about-us/	Women’s health and fertility issues	Personal Bio	21	14	
Anchor Acupuncture & Wellness	http://anchoracu.com/				Anna Ritner	L.Ac., FABORM								http://anchoracu.com/about-us/	Women’s health – including fertility medicine, hormone balancing, and pre-natal & postpartum care	Personal Bio	22	14	85
Monarch Acupunture & Wellness	https://www.monarchacupuncture.com/	1901 Olympic Boulevard, Ste. 120
 Walnut Creek, CA, 94596	https://www.yelp.com/biz/monarch-acupuncture-and-wellness-walnut-creek	(925) 268-8830	Anna Ritner	L.Ac., FABORM								https://www.monarchacupuncture.com/about/	Women’s health – including fertility medicine, hormone balancing, and pre-natal & postpartum care	Personal Bio	22	85	
Anna Gold Acupuncture	http://annagoldacupuncture.com/	500 Sutter Street #908, Nob Hill San Francisco, CA	https://www.yelp.com/biz/anna-gold-acupuncture-san-francisco	415.891.9993	Anna Hsieh Gold	L.Ac, MTOM, FABORM		General Acupuncture, chronic and acute pain, emotional disorders, stress and anxiety, insomnia, digestive disorders, skin irritations, migraines, hormonal and reproductive issues in both women and men  Facial Acupuncture  Fertility, IVF Support, Pre-Natal & Post-Natal Care		https://annagoldacupuncture.com/services/		http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area  https://www.expertise.com/ca/san-francisco/acupuncture		https://annagoldacupuncture.com/about-anna/	General Acupuncture	General Practice	23	15	
Annie Wang Acupuncture (Los Altos)	http://www.anniewanglac.com/	895 Sherwood Avenue, Suite 101, Los Altos, CA 94022  1601 El Camino Real, Suite 303, Belmont, CA 94002	https://www.yelp.com/biz/annie-wang-acupuncture-los-altos-3	650-468-3636  650-468-3636	Annie Wang	ABORM 								http://www.anniewanglac.com/team/	Female fertility, Male fertility,  Pregnancy wellness, Acupuncture for pain, Acupuncture for teenagers	Personal Bio	24	17	
Annie Wang Acupuncture (Los Altos)	http://www.anniewanglac.com/				Jeannette Schreiber	L.Ac.								http://www.anniewanglac.com/team/	Pain Relief Digestion Internal Medicine Fertility	Personal Bio	25	17	
Annie Wang Acupuncture (Los Altos)	http://www.anniewanglac.com/				Sophia Chang	L.Ac.								http://www.anniewanglac.com/team/	Female Fertility
 Male Fertility
 Pregnancy Wellness
 Acupuncture for Pain
 Menopause	Personal Bio	26	17	
Balance Restored	www.balancerestored.com	21 Tamal Vista, Suite 175
 Corte Madera, CA 94925	https://www.yelp.com/biz/balance-restored-corte-madera-3	415-381-8500	Susan Fox	M.S., L.Ac., FABORM								https://www.balancerestored.com/	infertility, as well as pregnancy, post-partum, peri-menopause and menopause.	Personal Bio	27	18	
Bay Chinese Medicine	http://baychinesemedicine.com/	4444 Geary BLVD, Suite 304. San Francisco, CA 94118	https://www.yelp.com/biz/bay-chinese-medicine-san-francisco	415-683-5622	Heather Sheilds	DACM, L.Ac., DIPL OM, FABORM								http://baychinesemedicine.com/about/	Fertility, woman's health, pain management.	Personal Bio	28	19	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/	1834 University Avenue, Berkeley, CA	https://www.yelp.com/biz/berkeley-acupuncture-project-berkeley	(510) 845-1100	Amanda Quvus Kawanami	L.Ac.						http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		https://seedtograin.wordpress.com/acupuncture/	Pediatrics, Pre/Post Natal Support, Digestive Disorders and Preventive Care	Personal Bio	29	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Cassandra Rose	L.Ac.								http://www.roselac.com/who.html	Gynecology, and Pain Management, Pediatrics	General Practice	30	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Joleen McKillip	L.Ac.								http://www.berkeleyacuproject.com/JoleenMckillip.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	31	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Jorge Madrid	L.Ac.								http://www.berkeleyacuproject.com/JorgeMadrid_e1.html	Pain Management, Produce Anethesia	Personal Bio	32	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Julia Carpenter	L.Ac.								http://www.berkeleyacuproject.com/JuliaCarpenter.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	33	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Liz Spurlock	L.Ac.								http://www.berkeleyacuproject.com/LizSpurlock.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	34	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Mary Stewart	L.Ac.								http://www.berkeleyacuproject.com/MaryStewart.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	35	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Michelle Lemieux	L.Ac.								http://www.berkeleyacuproject.com/MichelleLemieux.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	36	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Sean Carson	L.Ac.								http://www.berkeleyacuproject.com/SeanCarson.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	37	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Sierra-maria Magdalena	L.Ac.								http://www.berkeleyacuproject.com/SierraMaria.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	38	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Lance Myoei	L.Ac.								http://www.berkeleyacuproject.com/LanceMyoei.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	39	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Ozben Felek	L.Ac.								http://www.berkeleyacuproject.com/OzbenFelek.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	40	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Paolo Chico	L.Ac.								http://www.berkeleyacuproject.com/Paolo.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	41	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Stanley Wu	L.Ac.								http://www.berkeleyacuproject.com/StanleyWu.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	42	20	
Berkeley Acupuncture Project	http://www.berkeleyacuproject.com/				Vignesh Swaminathan	L.Ac.								http://www.berkeleyacuproject.com/Vignesh.html	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice	43	20	
BiaoHealth	http://www.biaohealth.com/	2370 Market street, Castro San Francisco, CA	https://www.yelp.com/biz/biaohealth-acupuncture-san-francisco	(415) 846-0963	Amy Petrarca	MS, RN, L.Ac., Dipl. OM		General Health & Wellness Stress Reduction Sound Therapy Facial Constitutional Acupuncture Skin Health & Resilience Metabolic Imbalances Auto-Immune Conditions Endocrine (Hormone) Imbalances Gastrointestinal Health Traumatic Injuries & Inflammation				http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://www.biaohealth.com/bio	General Acupuncture	General Practice	44	21	
Blessing Acupuncture	http://www.blessingacu.com/	555 Webster St, Second Floor, Monterey, CA 93940	https://www.yelp.com/biz/blessing-acupuncture-monterey-2	(831) 333-1434	Rikke Blessing	MS, L.Ac., Dipl. OM, FABORM								http://www.blessingacu.com/about.html	Infertility and women’s health	Personal Bio	45	22	
Blue Ova Health	https://www.blueova.com/	1414 Castro Street, Noe Valley San Francisco, CA	https://www.yelp.com/biz/blue-ova-health-san-francisco	(415) 795-3900	Robin Sheared	L.Ac. FABORM		fertility, pregnancy, postnatal, and women's health				http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area  http://sanfrancisco.cbslocal.com/top-lists/best-places-for-acupuncture-in-the-bay-area/		https://www.blueova.com/robin-sheared	Fertility, pregnancy and post-natal care	Personal Bio	46	23	
Blue Ova Health	https://www.blueova.com/				Dashal Moore	L.Ac. ABORM								https://www.blueova.com/dashal-moore	Women’s health, fertility, autoimmune conditions, and sports medicine	Personal Bio	47	23	
Blue Ova Health	https://www.blueova.com/				Rachel Hemphill 	L.Ac. FABORM								https://www.blueova.com/rachel-hemphill	Fertility, and reproductive medicine	Personal Bio	48	23	
Blue Ova Health	https://www.blueova.com/				Susan Housand	L.Ac. ABORM								https://www.blueova.com/susan-housand	Women’s health and fertility	Personal Bio	49	23	
Blue Path Acupuncture	http://www.bluepathacupuncture.com/	3400 California St #100
 San Francisco, CA 94118	https://www.yelp.com/biz/blue-path-acupuncture-san-francisco	415-754-3331	Lisa Lam	L.Ac.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://www.bluepathacupuncture.com/about-us/	Acute and chronic pain, digestive disorders, stress, fatigue, and internal medicine	Personal Bio	50	24	
Brannan Street Acupuncture	http://www.brannanstreetacupuncture.com/	141 Brannan St, SoMa San Francisco, CA	https://www.yelp.com/biz/dan-abels-lac-brannan-street-acupuncture-san-francisco	415-578-1016	Daniel Abels	L.Ac.	Yes	lower back and hip pain, neck and shoulder pain, sports injuries, stress and anxiety, digestive disorders and women's health and fertility		http://www.brannanstreetacupuncture.com/contents/acupuncture-tcm/what-conditions-can-acupuncture-treat	Yes	http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area  https://www.expertise.com/ca/san-francisco/acupuncture  https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://www.brannanstreetacupuncture.com/	Pain Injury, Stress and Anxiety, Digestive Disorders, and Woman's Health & Fertility	Personal Bio	51	25	
Bu Tong Acupuncture	https://www.butongacupuncture.com/	1364 Valencia St, San Francisco, CA 94110	https://www.yelp.com/biz/bu-tong-acupuncture-san-francisco	415-967-0476	Julie Baumhofer	L.Ac.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		https://www.butongacupuncture.com/about.html	Chronic pain, stress, infertility, compromised immunity, depression, anxiety, menopause, irregular menses and PMS/PMDD	Personal Bio	52	26	
Castro Valley Acupuncture	http://www.caryngoldman.com/	2881 Castro Valley Boulevard, Suite D, World Map Castro Valley, CA	https://www.yelp.com/biz/castro-valley-acupuncture-castro-valley	(510) 727-1238	Caryn Goldman	R.N., L.Ac.		Women's Health, Pain		http://www.caryngoldman.com/pages/conditions.htm		http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://www.caryngoldman.com/pages/aboutcaryn.htm	Fertility, Allergies, Respiratory Infections, Women's Health, Stress and Anxiety	Personal Bio	53	27	
Chinese Medicine Infertility Center	http://www.fertilitychinesemedicine.com/	1315 16th Avenue, San Francisco, CA 94122	https://www.yelp.com/biz/lee-jia-ming-phd-san-francisco	415-759-8855	Jiaming Lee	L.Ac., Ph.D. 		Fertility						http://www.fertilitychinesemedicine.com/physicians.htm	Women’s health	Personal Bio	54	28	
Chinese Medicine Works	http://chinesemedicineworks.com/	1201 Noe St, San Francisco, CA 94114	https://www.yelp.com/biz/chinese-medicine-works-san-francisco	415.285.0931	Harriet Beinfield	L.Ac.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://chinesemedicineworks.com/acupuncture-clinic/who-we-are/	General Acupuncture	General Practice	55	29	
Chinese Medicine Works	http://chinesemedicineworks.com/				Efrem Korngold	OMD, L.Ac.								http://chinesemedicineworks.com/acupuncture-clinic/who-we-are/	General Acupuncture	General Practice	56	29	
Chinese Medicine Works	http://chinesemedicineworks.com/				Janice Mao	L.A.c.								http://chinesemedicineworks.com/acupuncture-clinic/who-we-are/	Women’s health, from fertility to postpartum through to pediatric care. Digestive disorders, emotional health, acute and chronic pain, and stroke	Personal Bio	57	29	
Chinese Medicine Works	http://chinesemedicineworks.com/				Dale Fanning	M.S. Dipl. O.M., L.Ac.								http://chinesemedicineworks.com/acupuncture-clinic/who-we-are/	Musculoskeletal pain and injury	Personal Bio	58	29	
Cicuto Acupuncture	https://www.cicutoacupuncture.com/	1700 Union St, San Francisco, CA 94123  1134 Ballena Blvd Suite 15, Alameda, CA 94501	https://www.yelp.com/biz/cicuto-acupuncture-san-francisco	415.404.6109  415.404.6109	Denise Cicuto	L.Ac., DIPL. OM.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		https://www.cicutoacupuncture.com/about	Women’s health and fertility	Personal Bio	59	30	
Circle Community Acupuncture	https://www.circleca.com/	1351 Harrison St. San Francisco, CA 94103	https://www.yelp.com/biz/circle-community-acupuncture-san-francisco	(415) 864-1070	Claudia Lehan	L.Ac.						http://sanfrancisco.cbslocal.com/top-lists/best-places-for-acupuncture-in-the-bay-area/  https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		https://www.circleca.com/contact/	General Acupuncture	General Practice	60	31	
Circle Community Acupuncture	https://www.circleca.com/				David Lesseps	L.Ac.								https://www.circleca.com/contact/	General Acupuncture	General Practice	61	31	
Circle Community Acupuncture	https://www.circleca.com/				Melissa Craven	L.Ac.								https://www.circleca.com/contact/	General Acupuncture	General Practice	62	31	
Circle Community Acupuncture	https://www.circleca.com/				Pamela Gilmour	L.Ac.								https://www.circleca.com/contact/	General Acupuncture	General Practice	63	31	
Circle Community Acupuncture	https://www.circleca.com/				Daniels Lee	L.Ac. CMT								https://www.circleca.com/contact/	General Acupuncture	General Practice	64	31	
City Pulse Acupuncture	http://citypulseacupuncture.com/	513 Valencia St, Mission San Francisco, CA	https://www.yelp.com/biz/city-pulse-acupuncture-oakland	(415) 518-3503	Rachel Hemphill	DACM, L.Ac., Dipl. O.M., FABORM
 Ursula Anderson, CMT		Fertility				http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://citypulseacupuncture.com/about/meet-rachel/	Woman's health, fertility, internal medicine, neurology, pain management, gynecology, gastrointestinal disorders, and oncology	Personal Bio	65	32	
Clear Pathways	http://clearpathwayshealth.com/	638 Stanyan St, San Francisco, CA 94117	https://www.yelp.com/biz/clear-pathways-acupuncture-and-wellness-san-francisco	415-971-7166	Lynn Belcher	L.Ac., MSTCM						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://citypulseacupuncture.com/about/meet-ursula/	Woman's health and fertility	Personal Bio	66	33	
Community Acupuncture Works	https://www.caworks.org/	2889 A 24th St, San Francisco, CA 94110, USA	https://www.yelp.com/biz/community-acupuncture-works-san-francisco-3	4158610104	Claudia Lehan	L.Ac.		community acupuncture, affordable acupuncture				https://www.expertise.com/ca/san-francisco/acupuncture  https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA	maybe leave off?	https://www.caworks.org/meet-the-team	General Acupuncture	General Practice	67	34	
Community Acupuncture Works	https://www.caworks.org/				Jenn Holley	L.Ac.								https://www.caworks.org/meet-the-team	General Acupuncture	General Practice	68	34	
Compass Rose Acupuncture	http://compassrosesf.com/	490 Post St Suite 450, San Francisco, CA 94102	https://www.yelp.com/biz/compass-rose-acupuncture-san-francisco	415-494-7722	Jeani Fink	L.Ac., MSTCM						https://www.expertise.com/ca/san-francisco/acupuncture		http://compassrosesf.com/what-we-do/	Pain And Orthopedics, Stress and Anxiety, Women's Health, Immunity and Allergies, Digestion, Preventative Health	Personal Bio	69	35	
Conscious Chiropractic & Acupuncture	http://www.consciouschiro.com/	220 Montgomery St #305, San Francisco, CA 94104	https://www.yelp.com/biz/conscious-chiropractic-and-acupuncture-san-francisco-2	415.677.9900	Traci Kanzawa	L.Ac.						https://www.expertise.com/ca/san-francisco/acupuncture		http://www.consciouschiro.com/staff/traci-kanzawa-l-ac/	Pain management and Digestive disorder	Personal Bio	70	36	
Dan Tian Wellness & Natural Medicine	http://www.dantianwellness.com/	638 Stanyan St., ​San Francisco, CA 94117	https://www.yelp.com/biz/dan-tian-wellness-and-natural-medicine-san-francisco	415-668-1880	Edith Ubuntu Chan	DAOM, L.Ac. ​						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://www.dantianwellness.com/dr-edith-ubuntu-chan.html	Orthopedic conditions and Sports injuries	Personal Bio	71	37	
Daniel Ng Acupuncture	http://www.danielhealing.com/	4444 Geary Blvd., Suite 211
 San Francisco, CA 94118	https://www.yelp.com/biz/daniel-ng-phd-lac-daniel-ng-acupuncture-clinic-san-francisco	(415) 386-7169	Daniel W. Ng 	PH.D., L.Ac.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://www.danielhealing.com/about-dr-ng.html	Allergies, Acute Pain and Chronic Pains, Digestive Tract Conditions, Female Conditions, Immune Disorder, Respiratory Conditions, Neurological Conditions, Stress and Related Symptoms, Facial Rejurenation	Personal Bio	72	38	
Body Mind Spirit Medicine	http://www.bodymindspiritmedicine.com/	728 Bryant Street @ 5th St, San Francisco, CA 94107	https://www.yelp.com/biz/debora-silverman-lac-body-mind-spirit-san-francisco	415 882 9988	Debora Silverman	L.Ac.						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://bodymindspiritmedicine.com/mobile/about.html	Skin Imbalances, Pain Management, Digestive Disorders, Emotional Well-Being, Promoting Immune Support and Wellness and Women’s and Men’s Reproductive Health.	Personal Bio	73	39	
Dennis McGrath Acupuncture	http://www.dennismcgrathacupuncture.com/	2000 Van Ness Avenue, Suite 706, San Francisco, CA, 94109	https://www.yelp.com/biz/dennis-mcgrath-acupuncture-san-francisco	(415) 567-5601	Dennie Mcgrath	L.Ac.						https://www.expertise.com/ca/san-francisco/acupuncture		http://www.dennismcgrathacupuncture.com/dennis-mcgrath/	General Acupuncture	General Practice	74	40	
Chicken Soup Chinese Medicine	http://docmisha.com/	2325 3rd Street, Suite 342
 San Francisco, CA 94107	https://www.yelp.com/biz/chicken-soup-chinese-medicine-san-francisco-2	(415) 861-1101	Misha Cohen	OMD, L.Ac.						https://www.expertise.com/ca/san-francisco/acupuncture		http://www.docmisha.com/about-misha-ruth-cohen/	PMS, infertility, hepatitis, HIV, endometriosis, HPV-related diseases and menopausal syndromes	Personal Bio	75	41	
Double Happiness Health	http://www.doublehappinesshealth.com/	1501 Mariposa St, Potrero Hill San Francisco, CA	https://www.yelp.com/biz/double-happiness-health-san-francisco	415-255-2252	Christine Friel	L.Ac., ABORM						http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area  https://www.expertise.com/ca/san-francisco/acupuncture		http://www.doublehappinesshealth.com/about/	Women’s health and Fertility and Orthopedics	Personal Bio	76	42	
Double Happiness Health	http://www.doublehappinesshealth.com/				Rachel Root	L.Ac., ABORM								http://www.doublehappinesshealth.com/about/	Fertility and Pregnancy and well as Menopause, PCOS, and other Hormonal imbalances	Personal Bio	77	42	
Driftwood Acupuncture & Wellness	https://www.driftwoodacu.com/	3727 Buchanan Street San Francisco CA 94123	https://www.yelp.com/biz/driftwood-acupuncture-and-wellness-san-francisco	415.570.1527	Anita Lang-Bakar	L.Ac.	Yes			look at list of conditions on site		http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		https://www.driftwoodacu.com/copy-of-about	Pain management, working with Athletes, stress/anxiety and insomnia, neurological diseases (Parkinsons, Bell's Palsy, MS) as well as internal medicine.	Personal Bio	78	43	
Earth and Air Wellness	http://earthandairwellness.com/	140 Gregory Lane, Pleasant Hill, CA	https://www.yelp.com/biz/earth-and-air-wellness-pleasant-hill-5	(925) 280-6026	Laura Metzdorff	L.Ac.						http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://earthandairwellness.com/about.html	General Acupuncture	General Practice	79	44	
Earth and Air Wellness	http://earthandairwellness.com/				Maria Yung	L.Ac.								http://earthandairwellness.com/about.html	Women's health including the treatment of hormonal imbalances, menstrual problems, fertility, and gynecological cancers.	Personal Bio	80	44	
East Bay Acupuncture & Natural Medicine	https://www.ebacupuncture.com/	2346 Stuart Street
 Berkeley, CA 94705	https://www.yelp.com/biz/east-bay-acupuncture-and-natural-medicine-berkeley	(510) 457-8886	Sean Michael Hall	L.Ac.								https://www.ebacupuncture.com/sean-michael-hall-licensed-acupuncturist/	Fertility & Reproductive Medicine and Orthopedics & Pain Management	Personal Bio	81	45	
East Bay Acupuncture & Natural Medicine	https://www.ebacupuncture.com/				Gabriela Pierre	L.Ac.								https://www.ebacupuncture.com/gabriela-pierre-licensed-acupuncturist/	Neuropathic and Musculoskeletal Pain Conditions, Stress and Anxiety Disorders and Women’s Reproductive Health and Fertility	Personal Bio	82	45	
