Jenny 	Nieters		12	No Response	No	L.Ac.	F	https://alamedaacupuncture.com/jenny-nieters/	Jenny Nieters specializes in sports medicine, orthopedic injuries, rehabilitation and athletic performance. Jenny will draw from many modalities to craft a treatment protocol, including: traditional acupuncture, electro acupuncture, dry needling, motor point acupuncture, trigger point acupuncture, gua sha therapy, cupping therapy, tui na massage, dietary therapy and herbal medicine.  Patients may be given corrective exercises as part of their treatment program.Chinese Medicine is a perfect modality to support body, mind and spirit for serious competitors.Jenny loves helping athletes achieve their personal best.	Orthopedics	17	Injury	12	Performance	20	Orthopedic injuries, rehabilitation and performance enhancement	Personal Bio					$250	$95		Doesn't Say		#N/A	Practice		https://en.yelp.com.ph/menu/alameda-acupuncture-alameda-3/item/acupuncture-only-with-jenny-nieters-l-ac	Academy of Chinese Culture and Health Sciences	2	U.C. Berkeley, Bachelors of Arts, Native American Studies	April 10, 2015					Yes			
Donna	Chang		13	No Response	Yes	L.Ac.	F	http://www.alamedacommunityacu.com/who-we-are/	Donna Chang is a Licensed Acupuncturist and Herbalist. Studied natural medicine, self-care principles, nutrition, and ultimately to get a master's degree from Acupuncture and Integrative Medicine College, Berkeley. Her specialties include holistic vision care, nutrition, women's health, pain reduction, digestive health, immunity and stress management. Having grown up in Hong Kong, She had an interest in Chinese Medicine and Taoism from a young age.	Women's Health	28	Pain Management	18	Gastrointestinal & Digestive	10	Holistic vision care, nutrition, women's health, pain reduction, digestive health, immunity and stress management.	Personal Bio					$30-50	$20-40		No		#N/A	Practice	info@alamedacommunityacu.com		Acupuncture & Integrative Medicine College	3	Acupuncture and Integrative Medicine College, Berkeley / Master's Degree	September 13, 2011					Yes			
Mandy	Rosenberg		14	No Response	No	L.Ac.	F	http://www.alamedacommunityacu.com/who-we-are/	Mandy Rosenberg studied at the Acupuncture and Integrative Medicine College in Berkeley, CA where she earned her Masters of Science in Oriental Medicine and her license to practice Acupuncture. She believes that healthcare belongs to everyone. The body is an amazing machine that has the capacity to transform and heal, She is here to help with that process.	General Acupuncture	11		#N/A		#N/A	General Acupuncture	General Practice					$30-50	$20-40		No		#N/A	Practice	info@alamedacommunityacu.com		Acupuncture & Integrative Medicine College	3	Masters of Science in Oriental Medicine	March 17, 2011					Yes			
Ana	Simono		15	No Response	Yes	L.Ac.	F	http://www.alamedacommunityacu.com/who-we-are/	Ana Simono is a Licensed Acupuncturist and Herbalist. Earning a Masters Degree from Acupuncture & Integrative Medicine College, Berkeley, she was able to bring together all the elements that seemed to fit perfectly in supplementing each other (meridian therapy, Traditional Chinese Medicine internal medicine, energy therapy, manual manipulation of muscles, heat therapy, and herbology,).Being Japanese Brazilian, She has been exposed to the yin/yang of cultures, and have been able to find a working harmonious middle ground.  At the core of both cultures is the appreciation of nature, and the essence of life (movement of Qi – energy) .  It is this energy that she hope to cultivate in her treatments and everyday life. 	Stress Management	26	Fertility	9	Sleep Disorders	24	stress management, fertility, insomnia, internal medicine and pain management	Personal Bio					$30-50	$30-50		No		#N/A	Practice	info@alamedacommunityacu.com		Acupuncture & Integrative Medicine College	3	Masters Degree	September 17, 2013					Yes			
Eun	Kim		16	No Response	No	L.Ac.	F	http://www.alamedacommunityacu.com/who-we-are/	Eun Kim is a Licensed Acupuncturist and Herbalist. Her roots are in Changpari, South Korea but she was raised in the Pacific Northwest of Oregon, birthplace of the community acupuncture movement! She trained at the American College of Traditional Chinese Medicine and worked at a private fertility clinic before joining the community acupuncture movement.	General Acupuncture	11		#N/A		#N/A	General Acupuncture	General Practice					$30-50	$30-50		No		#N/A	Practice	info@alamedacommunityacu.com		American College of Traditional Chinese Medicine	4		April 07, 2014					Yes			
Alison	Hunter	1	17	Verified	Yes	L.Ac., OMD, FABORM	F	http://www.dralisonhunter.com/san-jose-acupuncturist-dr-alison-hunter/	Alison Hunter is a Licensed Acupuncturist (LAc), a Doctor of Oriental Medicine (OMD), and a certified Fellow of the American Board of Oriental Reproductive Medicine (FABORM). She is a specialist in reproductive medicine, pregnancy and women’s health. She received her Master of Science degree from Five Branches University, and her Doctoral degree from South Baylo University in conjunction with the University of California San Francisco. For many years, she has worked extensively with Western medical doctors in the treatment of male and female infertility. Her work includes clinical research projects as well as collaborative and on-site work with reproductive centers and hospitals in the greater Bay area. 	Fertility	9	Pregnancy	22	Autoimmune	3	Fertility, pregnancy and women’s health	Personal Bio					$140	95- cash discount available		Yes	Cigna, United Healthcare, Aetna some selected plans within other companies	10,29,2	Single Practitioner Location	alisonhunterlac@gmail.com	https://www.yelp.com/biz/alison-hunter-lac-omd-faborm-san-jose	Five Branches University Doctorate,South Baylo University in conjunction with University of California San Francisco	#N/A	Five Branches University / Master of Science degree	October 23, 2003		FABORM- fellow of American Board of Oriental Reproductive Medicine		CA	Yes	Yes		
Stephen 	Zilber		18		No	L.Ac.	M	http://allergyreliefsonoma.com/about/	Stephen Zilber is California licensed and nationally board certified in acupuncture and Chinese herbology and is a certified Neuro-Emotional Technique practitioner with over 20 years experience. For the past 15 years, he has specialized in functional endocrinology and immunology with a focus on allergies and autoimmune conditions. Stephen uses a variety of diagnostic and treatment methods to identify and balance the body’s underlying disharmonies and stresses that lead to symptoms and disease. These include Chinese, Japanese and Korean style acupuncture.	Allergies	2	Endocrine	7	Autoimmune	3	Functional endocrinology and immunology with a focus on allergies and auto-immune conditions	Personal Bio		Allergy, Immune			Does not list	Does not list		Doesn't Say		#N/A		info@allergyreliefsonoma.com	https://www.yelp.com/biz/stephen-zilber-lac-sebastopol	American College of Traditional Chinese Medicine	4		June 16, 1997					Yes			
Allison	Crawford	1	19			L.Ac.	F	http://www.allisoncrawford.com/my-story/	Allison Crawford is a graduate of UCLA and the Acupuncture and Integrative Medicine College in Berkeley. Allison practices a Japanese-style method that utilizes painless insertion.Allison’s specialties include women’s health (infertility, PMS, prenatal care, etc.) and the treatment of pain, utilizing Dr. Tan’s Balance Method. Her warmth and knowledge provide a relaxed, comfortable, results-oriented visit.  	Fertility	9	Women's Health	28		#N/A	Fertility and women’s health	Personal Bio		women’s health (infertility, PMS, prenatal care, etc.), chronic pain management			$120	$80		Yes	Yes, I work with a variety of insurance companies. If you will be using your insurance coverage to pay for acupuncture treatments, we must verify your coverage before your first visit or you will be asked to pay the out of pocket rate until acupuncture coverage is confirmed.	34	Single Practitioner Location		https://www.yelp.com/biz/allison-crawford-san-francisco-2		#N/A		September 18, 2003					Yes			
Amanda	Moler	1	21	Verified	Yes	M.S. Dipl Ac, L.Ac, FABORM	F	http://anchoracu.com/about-us/	Amanda has spent a significant amount of time with powerful female healers. In India and Burma, she studied traditional medicine with local healers treating patients with herbal medicine. She develops a customized treatment plan, which could include acupuncture, Chinese herbs, cupping, and heat therapy, as well as exercise, massage, and nutrition. She has over 17 years experience in the healing profession and specializes in fertility and women's health issues. Using acupuncture, herbal medicine, Japanese healing modalities, and nutritional and lifestyle counseling, Anca Sira has helped improve the quality of life for her patients.	Women's Health	28	Fertility	9	Pain Management	18	Women’s health and fertility issues	Personal Bio					$260	$130		Doesn't Say		#N/A	Practice	amanda@anchoracu.com		American College of Traditional Chinese Medicine	4	antirph coll	March 14, 2011				CA	Yes	Yes		
Anna 	Ritner	1	22		Yes	L.Ac., FABORM	F	https://www.monarchacupuncture.com/about/	Anna Ritner is a California state-licensed herbalist and acupuncturist. She received her Master of Science in Traditional Chinese Medicine from ACTCM in San Francisco. Anna’s greatest passion is supporting and educating women in order to help them to feel powerful and creative in their bodies. As part of her professional training, Anna completed a clinical acupuncture certificate through the Zhejiang Chinese Medical University in Hangzhou, China, where she received advanced training in Women’s health and pain management.	Women's Health	28	Endocrine	7	Pre & Postpartum	21	Women’s health – including fertility medicine, hormone balancing, and pre-natal & postpartum care	Personal Bio					$185	$105		Yes	We glad accept Flex Spending and Health Savings Accounts! We are in-network with Cigna.	10,13	Single Practitioner Location	Anna@MonarchAcupuncture.com		American College of Traditional Chinese Medicine	4		October 08, 2014					Yes			
Anna 	Hsieh Gold	1	23	No Response	No	L.Ac, MTOM, FABORM	F	https://annagoldacupuncture.com/about-anna/	Anna Hsieh Gold is a Licensed Acupuncturist: California Acupuncture Board and has Master’s in Traditional Oriental Medicine: Emperor’s College of Traditional Chinese Medicine, Fellow of the American Board of Oriental Reproductive Medicine (FABORM) Advanced Certification in Constitutional Facial Acupuncture Rejuvenation: Chakra Center, Certified Clean Needle Technique: Council of Colleges of Acupuncture and Oriental Medicine and B.A. in Comparative Literature: University of California, Berkeley. At Berkeley, she majored in comparative literature while also completing prerequisites for medical school.	General Acupuncture	11		#N/A		#N/A	General Acupuncture	General Practice		General Acupuncture, chronic and acute pain, emotional disorders, stress and anxiety, insomnia, digestive disorders, skin irritations, migraines, hormonal and reproductive issues in both women and men  Facial Acupuncture  Fertility, IVF Support, Pre-Natal & Post-Natal Care		https://annagoldacupuncture.com/services/	$175	$110		Yes	Cigna Healthcare
Blue Shield of California
UMR	10,9,28	Single Practitioner Location	info@annagoldacupuncture.com	https://www.yelp.com/biz/anna-gold-acupuncture-san-francisco	Emperor’s College of Traditional Chinese Medicine	6	University of California, Berkeley / B.A. in Comparative Literature	May 18, 2006					Yes			
Annie	Wang	1	24	Doesn't Want to be Included	No	L.Ac., FABORM 	F	http://www.anniewanglac.com/team/	Annie treats a broad range of health issues and specializes in female fertility, male fertility, pregnancy wellness, acupuncture for pain, acupuncture for teenagers. She has had extensive education and training in the holistic treatment of infertility and its associated conditions. Annie is a Fellow of the American Board of Reproductive Medicine (ABORM). Annie holds a master’s degree in Traditional Chinese Medicine and is licensed nationally and by the California State Board to practice acupuncture and Chinese herbal medicine.  She received her bachelor’s degree in architecture from the University of California, Berkeley	Fertility	9	Pregnancy	22	Pain Management	18	Female fertility, Male fertility,  Pregnancy wellness, Acupuncture for pain, Acupuncture for teenagers	Personal Bio					$200	$105		Yes	Cigna
United Healthcare	#N/A	Practice	appts@anniewanglac.com	https://www.yelp.com/biz/annie-wang-acupuncture-los-altos-3	American College of Traditional Chinese Medicine	4	University of California, Berkeley / bachelor’s degree in architecture	October 04, 2005					Yes			
Jeannette 	Schreiber		25		Yes	L.Ac.	F	http://www.anniewanglac.com/team/	Jeannette specializes in pain relief, digestion, internal medicine, and fertility. And spent over 20 years studying health and nutrition. She is a graduate of Five Branches University, including advanced studies at a hospital in Hangzhou, China. She has also trained in large clinics in the United States and was a faculty member at the Oregon College of Oriental Medicine.Her focus is on finding the common ground between Eastern and Western medical traditions, and she utilizes the best of both to prevent disease and restore health	Pain Management	18	Gastrointestinal & Digestive	10	Fertility	9	Pain Relief Digestion Internal Medicine Fertility	Personal Bio					$200	$105		Yes	Cigna
United Healthcare	#N/A	Practice	appts@anniewanglac.com		Five Branches University	7	University of California, Berkeley. / Architecture	October 02, 2006					Yes			
Sophia 	Chang		26		Yes	L.Ac.	F	http://www.anniewanglac.com/team/	Sophia specializes in women’s health, pain and stress management. She is especially interested in aiding women experiencing menstrual disorders as well as those suffering from menopausal symptoms.Sophia is also well versed in treating acute and chronic muscular pains, as well as stress and stress-related insomnia. She hold a Master’s Degree from Five Branches University and a Bachelor of Arts degree from the University of California, Davis. She enjoys teaching patients ways to incorporate parts of Traditional Chinese Medicine into their lives so that it complements today’s modern world. Sophia is fluent in Korean.	Fertility	9	Pregnancy	22	Pain Management	18	Female Fertility
Male Fertility
Pregnancy Wellness
Acupuncture for Pain
Menopause	Personal Bio					$200	$105		Yes	Cigna United Healthcare	10,29	Practice	appts@anniewanglac.com		Five Branches University	7	University of California / Bachelor of Arts degree						Yes			
Susan 	Fox	1	27	Verified	Yes	L.Ac., FABORM	F	https://www.balancerestored.com/	Susan Fox is a licensed acupuncturist and a specialist in Reproductive Medicine, Susan combines evidence-based research protocols with customized Chinese Medicine diagnosis and treatment principles to treat challenges of infertility, as well as pregnancy, post-partum, perimenopause and menopause.Susan has been studying Functional Medicine for over a decade, and implements laboratory and other diagnostic testing. A healthy microbiome and gut health is integral to all health; therefore, Susan works to ensure that a patient’s detoxification systems are functioning optimally, and tailors protocols to address a variety of Digestive Complaints.Susan earned her Master’s Degree at Meiji College of Oriental Medicine in Berkeley, California.	Fertility	9	Pregnancy	22	Pre & Postpartum	21	infertility, as well as pregnancy, post-partum, peri-menopause and menopause.	Personal Bio					250 (includes lab review, intake, diagnosis, treatment plan + acupuncture) 	120		will file insurance as OON provider for patients whose reimbursement meets or exceeds my discounted rate for payment at time of service		#N/A	Practice	sfox@balancerestored.com		Meiji College of Oriental Medicine	10	CA Institute of Integral Studies	April 11, 2002				CA	Yes	Yes	Yes- Yes. Oh/Gyn, Reproductive Endocrinologists, Orthopedic and Pain Management--MDs are in private practice, Kaiser, and on occasion UCSF dept of reproductive endocrinology.    	
Heather 	Shields	1	28	No Response	No	DACM, L.Ac., DIPL OM, FABORM	F	http://baychinesemedicine.com/about/	Heather Shields is a nationally certified Diplomate in Oriental Medicine and is a Licensed Acupuncturist in California.  She is also board certified in Oriental Reproductive Medicine and has a post-graduate certification in Chinese Medicine Pediatrics. Formerly a Certified Massage Therapist, Heather is trained in several modalities of bodywork, including Tui Na and Shiatsu. She received her Doctor of Acupuncture and Chinese Medicine (DACM) and her Master of Science in Traditional Chinese Medicine (MSTCM) from the American College of Traditional Chinese Medicine (ACTCM) at CIIS. She also trained with renowned Chinese doctors at YueYang Hospital in Shanghai, China. Heather enjoys working with other health care providers.	Fertility	9	Women's Health	28	Pain Management	18	Fertility, woman's health, pain management.	Personal Bio					Does not list	Does not list		Doesn't Say		#N/A	Practice			American College of Traditional Chinese Medicine	4	Middlebury College / Bachelor of Arts in International Studies and Environmental Studies	September 15, 2011					Yes			
Amanda	Quvus Kawanami		29		No	L.Ac.	F	https://seedtograin.wordpress.com/acupuncture/	Amanda Quvus Kawanami specialties include pediatrics, pre/post natal care, digestive disorders and preventative care. Ayurveda, Japanese and Chinese Acupuncture Styles, and Functional Medicine are some of the modalities that she incorporates to help bring your body back into balance. Her treatment methods will vary depending on your age, the season we’re in or time of day it is, and your specific needs and desires.	Pediatrics	19	Pre & Postpartum	21	Gastrointestinal & Digestive	10	Pediatrics, Pre/Post Natal Support, Digestive Disorders and Preventive Care	Personal Bio					$105-125	$50-$85		Doesn't Say		#N/A	Personal	aq.kawanami@gmail.com			#N/A	Art and Psychology	October 05, 2011					Yes			
Cassandra	Rose		30		No	L.Ac.	F	http://bapnap.com/cassandra-rose.html	Cassandra Rose is a licensed acupuncturist, herbalist, maker and restorative yoga teacher. She earned a Masters of Science in Traditional Chinese Medicine from the American College of Traditional Chinese Medicine. She is passionate about creating accessbility around acupuncture. 	Women's Health	28	Pain Management	18	Pediatrics	19	Gynecology, and Pain Management, Pediatrics	General Practice					$12	$18-40		Doesn't Say		#N/A	Practice	cassroselac@gmail.com	https://www.yelp.com/biz/cassandra-rose-l-ac-san-francisco	American College of Traditional Chinese Medicine	4		October 12, 2015					Yes			
Joleen 	McKillip		31		No	L.Ac.	F	http://www.berkeleyacuproject.com/JoleenMckillip.html	Cassandra Rose is a licensed acupuncturist, herbalist, maker and restorative yoga teacher. She earned a Masters of Science in Traditional Chinese Medicine from the American College of Traditional Chinese Medicine. She is passionate about creating accessbility around acupuncture. Cassandra is an artist, mama bear, plant nurturer, camper, cook, yogi, book nerd and all-around fun gal.	Women's Health	28	Respiratory	23	Gastrointestinal & Digestive	10	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice					$12	$18-40		Doesn't Say		#N/A	Practice	info@bapnap.com			#N/A		September 22, 2016					Yes			
Jorge 	Madrid		32		No	L.Ac.	M	http://www.berkeleyacuproject.com/JorgeMadrid_e1.html	Jorge Madrid was born and raised in Mexico City where I used to be a geologist. He  believes that geology and Chinese Medicine share the same principles: looking for external evidence in order to know what is going in the inside. When he's not doing acupuncture, you’ll find him playing soccer, making beer, hiking, riding his bicycle, listening to music, reading a book, or drinking tea.	Pain Management	18		#N/A		#N/A	Pain Management, Produce Anethesia	Personal Bio					$12	$18-40		Doesn't Say		#N/A	Practice	info@bapnap.com			#N/A		March 04, 2004					Yes			
Julia 	Carpenter		33		No	L.Ac.	F	http://www.berkeleyacuproject.com/JuliaCarpenter.html	Julia Carpenter is a licensed acupuncturist since 2007. When she was little, I always told people I was going to be a doctor. She lived in Berkeley for over 20 years now, raising her three children. She studied Philosophy and Medical Anthropology in her academic years, but now her favorite things are, maybe or maybe not in this order: naps, fine wine, sour beers, reading books in my garden, hiking, and, of course, whispering.		#N/A		#N/A		#N/A	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice					$12	$18-40		Doesn't Say		#N/A	Practice	info@bapnap.com	https://www.yelp.com/biz/julia-carpenter-l-ac-berkeley		#N/A		October 18, 2007					Yes			
Liz 	Spurlock		34		No	L.Ac.	F	http://www.berkeleyacuproject.com/LizSpurlock.html	Liz Spurlock is a licensed acupuncturist since 2017. She is a native to northern California and love to explore its many environment. Discovering Chinese Medicine was an epiphany for her, like finding an ancient treasure in plain sight. She continually inspired by this sophisticated and nuanced system of medicine with deep roots into pre-industrialized times and that it has survived into modern times and is accessible. While not mulling over such complexities, she enjoys reading, walking, gardening, making mosaic art, drinking tea in the rain, and spending time with my family.		#N/A		#N/A		#N/A	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice					$12	$18-40		Doesn't Say		#N/A	Practice	info@bapnap.com			#N/A		October 03, 2017					Yes			
Mary 	Stewart		35		No	L.Ac.	F	http://www.berkeleyacuproject.com/MaryStewart.html	Mary Stewart is a licensed acupuncturist since 1999. When she's not working, she find joy in poetry, plant spirit medicine, long walks, driving on veggie oil, and goofing around with her daughter and partner. She is happiest communing with all the amazing creatures of this world, you included!		#N/A		#N/A		#N/A	Women's Health, Respiratory Disorders, Digestive, Autoimmune Disorders, Fertility, Fatigue, Addiction to Alcohol and Tobacco	General Practice					$12	$18-40		Doesn't Say		#N/A	Practice	info@bapnap.com			#N/A		January 20, 1999					Yes			
